power.draw [W]
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
1.62 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.49 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
3.06 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.88 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
3.12 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.87 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.86 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.84 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.82 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.92 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.96 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.80 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.98 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
2.77 W
